Fold  10
10 0 8693
10 1 8750
10 2 8979
10 3 9032
Done 
Fold  8
8 0 5729
8 1 5736
8 2 5738
8 3 5744
8 4 5756
8 5 5842
8 6 5850
8 7 5989
8 8 6179
8 9 6586
8 10 6661
8 11 6749
Fold  1
1 0 0788
1 1 0812
1 2 0813
1 3 0906
1 4 1053
1 5 1054
1 6 1118
1 7 1131
1 8 1136
1 9 1140
1 10 1141
1 11 1142
Fold  9
9 0 6970
9 1 7011
9 2 7174
9 3 7596
9 4 7626
9 5 7648
9 6 7814
9 7 8340
9 8 8409
9 9 8418
9 10 8533
9 11 8603
Fold  4
4 0 2618
4 1 2619
4 2 2629
4 3 2639
4 4 2644
4 5 2650
4 6 2653
4 7 2690
4 8 2831
4 9 2862
4 10 2972
4 11 2990
Fold  7
7 0 4704
7 1 4707
7 2 4709
7 3 4711
7 4 4720
7 5 4726
7 6 4813
7 7 4858
7 8 4904
7 9 5039
7 10 5244
7 11 5631
Fold  2
2 0 1224
2 1 1247
2 2 1317
2 3 1373
2 4 1379
2 5 1387
2 6 1619
2 7 1627
2 8 1629
2 9 1632
2 10 1752
2 11 1932
Fold  6
6 0 4148
6 1 4170
6 2 4176
6 3 4185
6 4 4237
6 5 4297
6 6 4488
6 7 4497
6 8 4596
6 9 4688
6 10 4695
6 11 4702
Fold  3
3 0 2013
3 1 2019
3 2 2068
3 3 2108
3 4 2133
3 5 2244
3 6 2316
3 7 2338
3 8 2402
3 9 2425
3 10 2612
3 11 2616
Fold  5
5 0 3037
5 1 3085
5 2 3114
5 3 3203
5 4 3338
5 5 3542
5 6 3628
5 7 3679
5 8 3684
5 9 3906
5 10 3928
5 11 4120
Fold  0
0 0 0017
0 1 0032
0 2 0125
0 3 0453
0 4 0495
0 5 0537
0 6 0609
0 7 0637
0 8 0640
0 9 0669
0 10 0678
0 11 0776
